date,revert,edit,commentor,title,comment,views,sentiment_score,M
2008-02-15 17:49:04,1.0,269.0,Keilana,"Hallsville, Texas",Reverted edits by [[Special:Contributions/66.211.39.135|66.211.39.135]] ([[User talk:66.211.39.135|talk]]) to last version by Gogo Dodo,67534.0,0.0,4.0
2008-09-18 17:30:28,0.0,7.0,Lightbot,"Marshall, Texas",Units/dates/other,391763.0,0.0,119.0
2009-12-27 22:16:46,0.0,10.0,SmackBot,"Beaumont, Texas",Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AWB]],1189374.0,0.0,140.0
2008-10-05 11:19:04,0.0,13.0,Lightbot,"Deer Park, Texas",Date links per [[wp:mosnum]]/Other,168920.0,0.0,24.0
2007-08-22 11:02:35,0.0,7.0,SmackBot,Emu oil,Date/fix the maintenance tags or gen fixes,523177.0,0.0,8.0
2009-12-27 22:16:46,0.0,165.0,SmackBot,"Beaumont, Texas",Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AWB]],1189374.0,0.0,140.0
2006-03-17 07:38:51,0.0,30.0,YurikBot,"Bay City, Texas",robot  Adding: de,177969.0,0.0,4.0
2008-10-08 20:21:29,1.0,95.0,Rror,"Jasper, Texas",Reverted edits by [[Special:Contributions/75.25.190.133|75.25.190.133]] to last version by Neurolysis ([[WP:HG|HG]]),299715.0,0.0,12.0
2008-01-31 20:58:20,1.0,1469.0,Gurch,"Jasper, Texas",Reverted edits by [[Special:Contributions/75.25.190.133|75.25.190.133]] ([[User talk:75.25.190.133|talk]]) to last version by Gurch,299715.0,0.0,12.0
2006-11-08 16:32:37,1.0,278.0,AntiVandalBot,"Lubbock, Texas",BOT - rv [[Special:Contributions/66.210.60.133|66.210.60.133]] ([[User talk:66.210.60.133|talk]]) to last version by Boogermanus,2218158.0,0.0,330.0
2008-01-31 21:01:07,1.0,61.0,Gurch,"Jasper, Texas",Reverted edits by [[Special:Contributions/75.25.190.133|75.25.190.133]] ([[User talk:75.25.190.133|talk]]) to last version by Mentifisto,299715.0,0.0,12.0
2006-05-13 02:40:08,1.0,338.0,Freakofnurture,"Beaumont, Texas",Reverted edits by [[Special:Contributions/Cydebot|Cydebot]] ([[User talk:Cydebot|talk]]) to last version by Acntx,1189374.0,0.0,140.0
